Time,In_column_Top
0,297.4103
1,297.4103
2,297.4063
3,297.4043
4,297.4043
5,297.4123
6,297.4133
7,297.4123
8,297.4053
9,297.4053
10,297.4043
11,297.4033
12,297.4033
13,297.4073
14,297.4083
15,297.4083
16,297.4103
17,297.4103
18,297.4143
19,297.4193
20,297.4193
21,297.4143
22,297.4123
23,297.4133
24,297.4264
25,297.4264
26,297.4223
27,297.4153
28,297.4153
29,297.4183
30,297.4203
31,297.4203
32,297.4163
33,297.4163
34,297.4173
35,297.4183
36,297.4183
37,297.4173
38,297.4173
39,297.4173
40,297.4234
41,297.4234
42,297.4223
43,297.4173
44,297.4173
45,297.4254
46,297.4314
47,297.4314
48,297.4314
49,297.4314
50,297.4304
51,297.4203
52,297.4203
53,297.4254
54,297.4324
55,297.4324
56,297.4254
57,297.4244
58,297.4244
59,297.4244
60,297.4244
61,297.4284
62,297.4334
63,297.4334
64,297.4284
65,297.4264
66,297.4264
67,297.4304
68,297.4304
69,297.4264
70,297.4193
71,297.4193
72,297.4334
73,297.4414
74,297.4414
75,297.4274
76,297.4274
77,297.4294
78,297.4334
79,297.4334
80,297.4294
81,297.4264
82,297.4264
83,297.4294
84,297.4294
85,297.4294
86,297.4284
87,297.4284
88,297.4274
89,297.4264
90,297.4264
91,297.4223
92,297.4213
93,297.4223
94,297.4244
95,297.4244
96,297.4264
97,297.4284
98,297.4284
99,297.4284
100,297.4284
101,297.4284
102,297.4264
103,297.4264
104,297.4274
105,297.4294
106,297.4294
107,297.4234
108,297.4203
109,297.4203
110,297.4223
111,297.4223
112,297.4244
113,297.4294
114,297.4294
115,297.4254
116,297.4234
117,297.4234
118,297.4254
119,297.4254
120,297.4234
121,297.4183
122,297.4183
123,297.4173
124,297.4173
125,297.4173
126,297.4173
127,297.4173
128,297.4183
129,297.4213
130,297.4213
131,297.4213
132,297.4213
133,297.4213
134,297.4213
135,297.4213
136,297.4213
137,297.4203
138,297.4203
139,297.4254
140,297.4314
141,297.4314
142,297.4264
143,297.4234
144,297.4234
145,297.4234
146,297.4234
147,297.4234
148,297.4244
149,297.4244
150,297.4234
151,297.4234
152,297.4234
153,297.4213
154,297.4213
155,297.4244
156,297.4334
157,297.4334
158,297.4284
159,297.4244
160,297.4244
161,297.4213
162,297.4213
163,297.4213
164,297.4193
165,297.4193
166,297.4183
167,297.4173
168,297.4173
169,297.4163
170,297.4163
171,297.4173
172,297.4223
173,297.4223
174,297.4193
175,297.4163
176,297.4163
177,297.4203
178,297.4223
179,297.4223
180,297.4163
181,297.4163
182,297.4163
183,297.4153
184,297.4153
185,297.4223
186,297.4254
187,297.4254
188,297.4183
189,297.4183
190,297.4203
191,297.4234
192,297.4234
193,297.4264
194,297.4284
195,297.4284
196,297.4274
197,297.4274
198,297.4284
199,297.4344
200,297.4344
201,297.4274
202,297.4203
203,297.4203
204,297.4324
205,297.4344
206,297.4334
207,297.4244
208,297.4244
209,297.4234
210,297.4213
211,297.4213
212,297.4203
213,297.4203
214,297.4203
215,297.4284
216,297.4284
217,297.4284
218,297.4284
219,297.4284
220,297.4324
221,297.4334
222,297.4334
223,297.4304
224,297.4304
225,297.4264
226,297.4193
227,297.4193
228,297.4234
229,297.4264
230,297.4264
231,297.4244
232,297.4244
233,297.4244
234,297.4234
235,297.4234
236,297.4244
237,297.4244
238,297.4244
239,297.4284
240,297.4284
241,297.4274
242,297.4244
243,297.4244
244,297.4264
245,297.4274
246,297.4274
247,297.4234
248,297.4223
249,297.4223
250,297.4244
251,297.4244
252,297.4294
253,297.4374
254,297.4374
255,297.4444
256,297.4464
257,297.4454
258,297.4354
259,297.4354
260,297.4334
261,297.4304
262,297.4304
263,297.4294
264,297.4284
265,297.4284
