time,T
1.0,302.482
2.0,302.482
3.0,302.492
4.0,302.496
5.0,302.496
6.0,302.475
7.0,302.474
8.0,302.484
9.0,302.5061
10.0,302.5061
11.0,302.5
12.0,302.496
13.0,302.496
14.0,302.49
15.0,302.489
16.0,302.488
17.0,302.486
18.0,302.486
19.0,302.487
20.0,302.488
21.0,302.488
22.0,302.485
23.0,302.484
24.0,302.486
25.0,302.499
26.0,302.499
27.0,302.492
28.0,302.483
29.0,302.483
30.0,302.479
31.0,302.478
32.0,302.479
33.0,302.5021
34.0,302.5021
35.0,302.498
36.0,302.493
37.0,302.493
38.0,302.475
39.0,302.468
40.0,302.468
41.0,302.495
42.0,302.495
43.0,302.488
44.0,302.471
45.0,302.471
46.0,302.492
47.0,302.5061
48.0,302.5061
49.0,302.5
50.0,302.499
51.0,302.501
52.0,302.5121
53.0,302.5121
54.0,302.5221
55.0,302.5301
56.0,302.5301
57.0,302.5371
58.0,302.5381
59.0,302.5391
60.0,302.5461
61.0,302.5461
62.0,302.5581
63.0,302.5712
64.0,302.5712
65.0,302.5892
66.0,302.5952
67.0,302.5962
68.0,302.6102
69.0,302.6102
70.0,302.6182
71.0,302.6293
72.0,302.6293
73.0,302.6583
74.0,302.6703
75.0,302.6713
76.0,302.6904
77.0,302.6904
78.0,302.6974
79.0,302.7144
80.0,302.7144
81.0,302.7415
82.0,302.7555
83.0,302.7555
84.0,302.8016
85.0,302.8016
86.0,302.8196
87.0,302.8777
88.0,302.8777
89.0,302.9047
90.0,302.9238
91.0,302.9238
92.0,302.9588
93.0,302.9638
94.0,302.9719
95.0,303.0049
96.0,303.0049
97.0,303.034
98.0,303.062
99.0,303.062
100.0,303.085
101.0,303.0901
102.0,303.0981
103.0,303.1562
104.0,303.1562
105.0,303.1872
106.0,303.2283
107.0,303.2283
108.0,303.2664
109.0,303.2794
110.0,303.2814
111.0,303.3134
112.0,303.3134
113.0,303.3585
114.0,303.4326
115.0,303.4326
116.0,303.4857
117.0,303.5148
118.0,303.5148
119.0,303.5679
120.0,303.5679
121.0,303.5889
122.0,303.654
123.0,303.654
124.0,303.6951
125.0,303.7231
126.0,303.7231
127.0,303.7652
128.0,303.7712
129.0,303.7883
130.0,303.8423
131.0,303.8423
132.0,303.8664
133.0,303.8914
134.0,303.8914
135.0,303.9565
136.0,303.9706
137.0,303.9766
138.0,304.0197
139.0,304.0197
140.0,304.0487
141.0,304.0777
142.0,304.0777
143.0,304.1659
144.0,304.1859
145.0,304.1919
146.0,304.2711
147.0,304.2711
148.0,304.2911
149.0,304.3202
150.0,304.3202
151.0,304.3743
152.0,304.3993
153.0,304.3993
154.0,304.4684
155.0,304.4684
156.0,304.4905
157.0,304.5375
158.0,304.5375
159.0,304.5696
160.0,304.5896
161.0,304.5896
162.0,304.6618
163.0,304.6668
164.0,304.6768
165.0,304.7068
166.0,304.7068
167.0,304.7389
168.0,304.7619
169.0,304.7619
170.0,304.79
171.0,304.794
172.0,304.799
173.0,304.825
174.0,304.825
175.0,304.8621
176.0,304.9002
177.0,304.9002
178.0,304.9462
179.0,304.9563
180.0,304.9553
181.0,304.9472
182.0,304.9472
183.0,304.9783
184.0,305.0234
185.0,305.0234
186.0,305.0434
187.0,305.0514
188.0,305.0534
189.0,305.0925
190.0,305.0925
191.0,305.1045
192.0,305.1316
193.0,305.1316
194.0,305.1616
195.0,305.1746
196.0,305.1746
197.0,305.1997
198.0,305.1997
199.0,305.2097
200.0,305.2437
201.0,305.2437
202.0,305.2458
203.0,305.2468
204.0,305.2468
205.0,305.3309
206.0,305.3369
207.0,305.3399
208.0,305.3479
209.0,305.3479
210.0,305.369
211.0,305.386
212.0,305.386
213.0,305.4261
214.0,305.4341
215.0,305.4381
216.0,305.4681
217.0,305.4681
218.0,305.4771
219.0,305.4872
220.0,305.4872
221.0,305.5302
222.0,305.5443
223.0,305.5463
224.0,305.5823
225.0,305.5823
226.0,305.5933
227.0,305.6124
228.0,305.6124
229.0,305.6334
230.0,305.6424
231.0,305.6424
232.0,305.6825
233.0,305.6825
234.0,305.6925
235.0,305.7136
236.0,305.7136
237.0,305.7266
238.0,305.7346
239.0,305.7346
240.0,305.7546
241.0,305.7556
242.0,305.7606
243.0,305.7777
244.0,305.7777
245.0,305.7877
246.0,305.7957
247.0,305.7957
248.0,305.8237
249.0,305.8298
250.0,305.8318
251.0,305.8398
252.0,305.8398
253.0,305.8498
254.0,305.8618
255.0,305.8618
256.0,305.8838
257.0,305.8889
258.0,305.8919
259.0,305.9159
260.0,305.9159
261.0,305.9329
262.0,305.958
263.0,305.958
264.0,305.9389
265.0,305.9329
266.0,305.9349
267.0,305.968
268.0,305.968
269.0,305.969
270.0,305.97
271.0,305.97
272.0,305.983
273.0,305.99
274.0,305.99
275.0,305.997
276.0,305.997
277.0,306.0051
278.0,306.0231
279.0,306.0231
280.0,306.0521
281.0,306.0692
282.0,306.0692
283.0,306.0842
284.0,306.0862
285.0,306.0982
286.0,306.1333
287.0,306.1333
288.0,306.1473
289.0,306.1603
290.0,306.1603
291.0,306.1844
292.0,306.1894
293.0,306.1904
294.0,306.1984
295.0,306.1984
296.0,306.1994
297.0,306.2004
298.0,306.2004
299.0,306.2104
300.0,306.2134
301.0,306.2134
302.0,306.2144
303.0,306.2144
304.0,306.2144
305.0,306.2154
306.0,306.2154
307.0,306.2415
308.0,306.2535
309.0,306.2535
310.0,306.2385
311.0,306.2385
312.0,306.2354
313.0,306.2294
314.0,306.2294
315.0,306.2374
316.0,306.2425
317.0,306.2425
318.0,306.2525
319.0,306.2525
320.0,306.2495
321.0,306.2385
322.0,306.2385
323.0,306.2525
324.0,306.2635
325.0,306.2635
326.0,306.2725
327.0,306.2735
328.0,306.2785
329.0,306.3016
330.0,306.3016
331.0,306.3096
332.0,306.3176
333.0,306.3176
334.0,306.3236
335.0,306.3256
336.0,306.3296
337.0,306.3577
338.0,306.3577
339.0,306.3607
340.0,306.3657
341.0,306.3657
342.0,306.3727
343.0,306.3747
344.0,306.3747
345.0,306.3887
346.0,306.3887
347.0,306.3917
348.0,306.3977
349.0,306.3977
350.0,306.3997
351.0,306.4007
352.0,306.4007
353.0,306.4528
354.0,306.4558
355.0,306.4578
356.0,306.4628
357.0,306.4628
358.0,306.4789
359.0,306.4919
360.0,306.4919
361.0,306.5189
362.0,306.5229
363.0,306.5269
364.0,306.544
365.0,306.544
366.0,306.564
367.0,306.584
368.0,306.584
369.0,306.6041
370.0,306.6081
371.0,306.6081
372.0,306.6091
373.0,306.6091
374.0,306.6191
375.0,306.6331
376.0,306.6331
377.0,306.6582
378.0,306.6682
379.0,306.6692
380.0,306.6832
381.0,306.6832
382.0,306.6972
383.0,306.7193
384.0,306.7193
385.0,306.7343
386.0,306.7403
387.0,306.7403
388.0,306.7553
389.0,306.7553
390.0,306.7603
391.0,306.7714
392.0,306.7714
393.0,306.7674
394.0,306.7644
395.0,306.7644
396.0,306.7814
397.0,306.7834
398.0,306.7944
399.0,306.8255
400.0,306.8255
401.0,306.8214
402.0,306.8174
403.0,306.8174
404.0,306.8465
405.0,306.8525
406.0,306.8535
407.0,306.8595
408.0,306.8595
409.0,306.8625
410.0,306.8655
411.0,306.8655
412.0,306.8775
413.0,306.8816
414.0,306.8836
415.0,306.9176
416.0,306.9176
417.0,306.9246
418.0,306.9346
419.0,306.9346
420.0,306.9487
421.0,306.9547
422.0,306.9547
423.0,306.9597
424.0,306.9597
425.0,306.9607
426.0,306.9627
427.0,306.9627
428.0,306.9807
429.0,306.9907
430.0,306.9907
431.0,307.0048
