time,Tf_1,Tf_2,Ts,hsf,v_1,v_2
0,0,0,0,0,0,0
1,303.05000000651,303.0500000069,303.05000000015,100000000000,-4.8687201814592e-05,-4.6958398283083e-05
2,303.05000000886,303.05000000941,303.05000000062,100000000000,-4.8687761564643e-05,-4.6958554931668e-05
3,303.05000001112,303.05000001175,303.05000000144,100000000000,-4.8687761695888e-05,-4.6958555099145e-05
4,303.05000001329,303.05000001399,303.0500000025,100000000000,-4.8687761688829e-05,-4.6958555095039e-05
5,303.0500000154,303.05000001614,303.05000000375,100000000000,-4.8687761646473e-05,-4.6958555065866e-05
6,303.05000001746,303.05000001823,303.0500000051,100000000000,-4.8687761649931e-05,-4.6958555065074e-05
7,303.05000001947,303.05000002026,303.05000000655,100000000000,-4.8687761641863e-05,-4.6958555044184e-05
8,303.05000002143,303.05000002224,303.05000000802,100000000000,-4.8687761624431e-05,-4.6958555036764e-05
9,303.05000002337,303.05000002419,303.05000000955,100000000000,-4.8687761623855e-05,-4.6958555037485e-05
10,303.05000002528,303.05000002611,303.0500000111,100000000000,-4.8687761624719e-05,-4.6958555036044e-05
11,303.05000002717,303.05000002801,303.05000001271,100000000000,-4.8687761612185e-05,-4.6958555017243e-05
12,303.05000002906,303.05000002992,303.0500000144,100000000000,-4.8687761598067e-05,-4.6958555009752e-05
13,303.05000003091,303.05000003178,303.05000001598,100000000000,-4.8687761597346e-05,-4.6958555009104e-05
14,303.05000003274,303.05000003361,303.05000001756,100000000000,-4.8687761596194e-05,-4.6958555008671e-05
15,303.05000003455,303.05000003543,303.05000001917,100000000000,-4.8687761598067e-05,-4.6958555008311e-05
16,303.05000003636,303.05000003723,303.05000002078,100000000000,-4.8687761596482e-05,-4.6958555009176e-05
17,303.05000003815,303.05000003902,303.0500000224,100000000000,-4.868776159605e-05,-4.6958555007663e-05
18,303.05000003993,303.05000004079,303.05000002402,100000000000,-4.868776159677e-05,-4.6958555008455e-05
19,303.0500000417,303.05000004256,303.05000002565,100000000000,-4.868776159533e-05,-4.6958555007015e-05
20,303.05000004346,303.05000004432,303.05000002728,100000000000,-4.868776159605e-05,-4.6958555007807e-05
21,303.05000004521,303.05000004607,303.05000002891,100000000000,-4.868776159677e-05,-4.6958555007519e-05
22,303.05000004696,303.05000004782,303.05000003055,100000000000,-4.8687761595185e-05,-4.6958555006078e-05
23,303.0500000487,303.05000004956,303.05000003218,100000000000,-4.868776159605e-05,-4.6958555006799e-05
24,303.05000005043,303.05000005129,303.05000003382,100000000000,-4.8687761595474e-05,-4.6958555007663e-05
25,303.05000005216,303.05000005301,303.05000003546,100000000000,-4.8687761596338e-05,-4.6958555007303e-05
26,303.05000005388,303.05000005474,303.05000003709,100000000000,-4.868776159605e-05,-4.6958555008095e-05
27,303.0500000556,303.05000005645,303.05000003873,100000000000,-4.8687761595618e-05,-4.6958555006582e-05
28,303.05000005732,303.05000005817,303.05000004037,100000000000,-4.8687761595185e-05,-4.6958555007447e-05
29,303.05000005903,303.05000005987,303.05000004201,100000000000,-4.8687761594753e-05,-4.6958555008167e-05
30,303.05000006073,303.05000006158,303.05000004365,100000000000,-4.8687761595474e-05,-4.6958555006726e-05
31,303.05000006244,303.05000006328,303.05000004529,100000000000,-4.8687761595618e-05,-4.6958555006294e-05
32,303.05000006414,303.05000006498,303.05000004693,100000000000,-4.8687761595185e-05,-4.6958555007159e-05
33,303.05000006583,303.05000006667,303.05000004857,100000000000,-4.8687761595906e-05,-4.6958555006726e-05
34,303.05000006753,303.05000006837,303.05000005021,100000000000,-4.8687761594465e-05,-4.6958555006294e-05
35,303.05000006922,303.05000007006,303.05000005185,100000000000,-4.8687761595041e-05,-4.6958555007087e-05
36,303.05000007091,303.05000007174,303.0500000535,100000000000,-4.8687761595185e-05,-4.6958555005502e-05
37,303.05000007259,303.05000007343,303.05000005514,100000000000,-4.8687761595906e-05,-4.6958555006294e-05
38,303.05000007428,303.05000007511,303.05000005678,100000000000,-4.8687761594177e-05,-4.6958555005862e-05
39,303.05000007596,303.05000007679,303.05000005842,100000000000,-4.8687761594897e-05,-4.6958555006654e-05
40,303.05000007764,303.05000007847,303.05000006006,100000000000,-4.8687761595618e-05,-4.6958555007375e-05
41,303.05000007931,303.05000008015,303.0500000617,100000000000,-4.8687761594609e-05,-4.695855500579e-05
42,303.05000008099,303.05000008182,303.05000006334,100000000000,-4.8687761595185e-05,-4.6958555005358e-05
43,303.05000008266,303.05000008349,303.05000006498,100000000000,-4.868776159533e-05,-4.6958555006078e-05
44,303.05000008434,303.05000008516,303.05000006662,100000000000,-4.8687761594753e-05,-4.6958555004493e-05
45,303.05000008601,303.05000008683,303.05000006826,100000000000,-4.8687761594897e-05,-4.6958555006366e-05
46,303.05000008768,303.0500000885,303.0500000699,100000000000,-4.8687761594321e-05,-4.6958555005934e-05
47,303.05000008934,303.05000009017,303.05000007153,100000000000,-4.8687761594465e-05,-4.6958555005502e-05
48,303.05000009101,303.05000009183,303.05000007317,100000000000,-4.8687761593889e-05,-4.695855500615e-05
49,303.05000009268,303.0500000935,303.05000007481,100000000000,-4.8687761595762e-05,-4.6958555005718e-05
50,303.05000009434,303.05000009516,303.05000007645,100000000000,-4.8687761593313e-05,-4.6958555006438e-05
51,303.050000096,303.05000009682,303.05000007809,100000000000,-4.8687761594609e-05,-4.6958555005934e-05
52,303.05000009766,303.05000009848,303.05000007973,100000000000,-4.8687761594033e-05,-4.6958555004349e-05
53,303.05000009932,303.05000010014,303.05000008137,100000000000,-4.868776159533e-05,-4.695855500615e-05
54,303.05000010098,303.0500001018,303.050000083,100000000000,-4.8687761595185e-05,-4.6958555005718e-05
55,303.05000010264,303.05000010346,303.05000008464,100000000000,-4.8687761594753e-05,-4.6958555005214e-05
56,303.0500001043,303.05000010512,303.05000008628,100000000000,-4.8687761594609e-05,-4.695855500579e-05
57,303.05000010596,303.05000010677,303.05000008792,100000000000,-4.8687761594033e-05,-4.6958555005358e-05
58,303.05000010761,303.05000010843,303.05000008955,100000000000,-4.8687761594033e-05,-4.6958555006006e-05
59,303.05000010927,303.05000011008,303.05000009119,100000000000,-4.8687761594033e-05,-4.6958555006654e-05
60,303.05000011092,303.05000011173,303.05000009283,100000000000,-4.8687761594033e-05,-4.695855500615e-05
61,303.05000011258,303.05000011339,303.05000009446,100000000000,-4.8687761594465e-05,-4.6958555005646e-05
62,303.05000011423,303.05000011504,303.0500000961,100000000000,-4.8687761594609e-05,-4.6958555004061e-05
63,303.05000011588,303.05000011669,303.05000009774,100000000000,-4.8687761594609e-05,-4.695855500471e-05
64,303.05000011753,303.05000011834,303.05000009937,100000000000,-4.8687761593745e-05,-4.6958555006438e-05
65,303.05000011918,303.05000011999,303.05000010101,100000000000,-4.8687761594321e-05,-4.6958555005934e-05
66,303.05000012083,303.05000012164,303.05000010265,100000000000,-4.8687761594321e-05,-4.6958555004205e-05
67,303.05000012248,303.05000012329,303.05000010428,100000000000,-4.8687761594177e-05,-4.6958555004854e-05
68,303.05000012413,303.05000012493,303.05000010592,100000000000,-4.8687761594177e-05,-4.6958555006654e-05
69,303.05000012578,303.05000012658,303.05000010755,100000000000,-4.8687761594177e-05,-4.6958555004926e-05
70,303.05000012743,303.05000012823,303.05000010919,100000000000,-4.868776159288e-05,-4.6958555005574e-05
71,303.05000012907,303.05000012987,303.05000011082,100000000000,-4.8687761594609e-05,-4.6958555004998e-05
72,303.05000013072,303.05000013152,303.05000011246,100000000000,-4.8687761593889e-05,-4.6958555005574e-05
73,303.05000013237,303.05000013316,303.05000011409,100000000000,-4.8687761595041e-05,-4.695855500507e-05
